Post Date,Post Id,Post URL,Price,Location,Post Title
2022-10-08 09:49,7542127430,https://pittsburgh.craigslist.org/fuo/d/glassport-coral-glass-top-end-table/7542127430.html,$100,,Coral Glass top End Table
2022-10-08 09:48,7543147286,https://pittsburgh.craigslist.org/fuo/d/imperial-vintage-mcm-stanley-linear/7543147286.html,$475, (Imperial),Vintage MCM Stanley “Linear Precision” Butterfly Leaf Table
2022-10-08 09:45,7532812144,https://pittsburgh.craigslist.org/fuo/d/westmoreland-city-ashley-furniture/7532812144.html,$100,,"Ashley Furniture, Coffee and End Table Set"
2022-10-08 09:44,7543144260,https://pittsburgh.craigslist.org/fuo/d/monongahela-dresser-nightstand/7543144260.html,$225, (Monongahela),Dresser & nightstand
2022-10-08 09:42,7542255640,https://pittsburgh.craigslist.org/fuo/d/sewickley-vintage-fisher-price-changing/7542255640.html,$50,,Vintage Fisher Price Changing Table w/ Dresser - solid wood
2022-10-08 09:41,7543144752,https://pittsburgh.craigslist.org/fuo/d/mckeesport-glass-coffee-table/7543144752.html,$75,,Glass Coffee Table
2022-10-08 09:41,7542259639,https://pittsburgh.craigslist.org/fuo/d/sewickley-vintage-chest-of-drawers/7542259639.html,$60,,Vintage Chest of Drawers - Wooden
2022-10-08 09:41,7543144650,https://pittsburgh.craigslist.org/fuo/d/glassport-bedroom-set/7543144650.html,$250,,Bedroom Set
2022-10-08 14:31,7543279878,https://pittsburgh.craigslist.org/fuo/d/east-brady-cherry-coffee-and-end-table/7543279878.html,$70, (Chicora area),Cherry coffee and end table
2022-10-08 14:24,7543276703,https://pittsburgh.craigslist.org/fuo/d/murrysville-antique-brunswick-victrola/7543276703.html,$135, (Murrysville),ANTIQUE BRUNSWICK VICTROLA CABINET - 1923
2022-10-08 14:17,7543273412,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-wood-inlaid-end-table/7543273412.html,$150, (Pittsburgh),Wood Inlaid End Table
2022-10-08 14:15,7543272235,https://pittsburgh.craigslist.org/fuo/d/verona-desk-roll-top/7543272235.html,$140, (Pennhills pa),Desk roll top
2022-10-08 14:12,7541492401,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-bar-stools/7541492401.html,$75, (RESERVE TOWNSHIP),BAR STOOLS
2022-10-08 14:09,7543269326,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-patio-set/7543269326.html,$0, (Churchill),Patio set
2022-10-08 14:07,7532598442,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-guitar-wooden-case/7532598442.html,$40, (Pennhills pa),Guitar wooden case
2022-10-08 14:06,7532598042,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-hanging-wicker-swing-chair/7532598042.html,$250, (Pennhills pa),Hanging wicker swing chair
2022-10-08 13:57,7543263248,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-bar-stools-45-each/7543263248.html,$45, (North Hills),Bar Stools $45. each
2022-10-08 13:53,7543261261,https://pittsburgh.craigslist.org/fuo/d/monongahela-antique-oak-round-table/7543261261.html,$100, (Monongahela),"Antique oak round table , pedastal base with claw feet"
2022-10-08 13:42,7543255931,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-wenger-trouper-stage-platform/7543255931.html,$200, (Upper St Clair),Wenger Trouper Stage Platform
2022-10-08 13:41,7543255653,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-wenger-trouper-stage-platform/7543255653.html,$200, (Upper St Clair),Wenger Trouper Stage Platform
2022-10-08 13:41,7543255412,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-wenger-trouper-stage-platform/7543255412.html,$200, (Upper St Clair),Wenger Trouper Stage Platform
2022-10-08 13:39,7541916239,https://pittsburgh.craigslist.org/fuo/d/warrendale-corner-desk-metal-and-glass/7541916239.html,$60, (cranberry township),Corner Desk metal and glass color grey
2022-10-08 13:38,7541525176,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-lots-of-furniture/7541525176.html,$1, (Pittsburgh),lots of furniture
2022-10-08 13:30,7543250320,https://pittsburgh.craigslist.org/fuo/d/mckeesport-bedroom-furniture/7543250320.html,$100,,Bedroom furniture
2022-10-08 13:25,7543247447,https://pittsburgh.craigslist.org/fuo/d/washington-nice-living-room-dinette/7543247447.html,$800, (Washington),Nice living room/dinette
2022-10-08 13:24,7534988596,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-living-room-chair/7534988596.html,$40, (PITTSBURGH),Living room Chair
2022-10-08 13:17,7537420269,https://pittsburgh.craigslist.org/fuo/d/butler-vintage-formica-table/7537420269.html,$50," (Butler, PA)",Vintage Formica Table
2022-10-08 13:16,7543243275,https://pittsburgh.craigslist.org/fuo/d/harwick-recliner/7543243275.html,$25, (Cheswick),Recliner
2022-10-08 13:15,7543242591,https://pittsburgh.craigslist.org/fuo/d/turtle-creek-pottery-barn-blythe/7543242591.html,$699,,Pottery Barn - Blythe Upholstered Bed
2022-10-08 13:09,7536166413,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-mid-century-modern-lamp/7536166413.html,$150, (East liberty),Mid century modern lamp
2022-10-08 13:09,7536156813,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-drexel-declaration-full/7536156813.html,$380, (East liberty),Drexel Declaration full headboard - mid century modern
2022-10-08 13:08,7534409278,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-rattan-and-iron-chaise-mid/7534409278.html,"$1,200", (East liberty),Rattan and iron chaise - mid century modern
2022-10-08 13:08,7536166862,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-drexel-declaration-mirror/7536166862.html,$250, (East liberty),Drexel declaration mirror - mid century modern
2022-10-08 13:08,7536157041,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-lane-rhythm-mirror-mid/7536157041.html,$150, (East liberty),Lane Rhythm mirror - mid century modern
2022-10-08 13:08,7542242479,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-vintage-mid-century-modern/7542242479.html,$280, (East liberty),Vintage mid century modern coffee table
2022-10-08 13:06,7543238022,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-vintage-cedar-chest/7543238022.html,$100, (Pleasant Hills PA),Vintage Cedar Chest
2022-10-08 13:04,7543237092,https://pittsburgh.craigslist.org/fuo/d/evans-city-pair-of-wooden-high-backed/7543237092.html,$15, (Evans City),Pair of Wooden High Backed Bar Stools
2022-10-08 12:58,7543234075,https://pittsburgh.craigslist.org/fuo/d/east-pittsburgh-mcm-dining-room-table/7543234075.html,$40," (Forest Hills, PA)",MCM Dining Room Table & Chairs
2022-10-08 12:29,7543219479,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-king-size-mattress-box-spring/7543219479.html,$99,,King size mattress & box spring
2022-10-08 12:28,7543218985,https://pittsburgh.craigslist.org/fuo/d/aliquippa-china-cabinet/7543218985.html,$200, (Aliquippa),China Cabinet
2022-10-08 12:28,7535709879,https://pittsburgh.craigslist.org/fuo/d/wexford-solid-walnut-wood-entertainment/7535709879.html,$60, (WEXFORD),Solid Walnut Wood Entertainment Center with 5 Shelves
2022-10-08 12:27,7542406806,https://pittsburgh.craigslist.org/fuo/d/saxonburg-entertainment-center/7542406806.html,$100, (Saxonburg Pa.),Entertainment Center
2022-10-08 12:26,7542126327,https://pittsburgh.craigslist.org/fuo/d/ingomar-vintage-henry-link-french/7542126327.html,$745, (North Hills),Vintage HENRY LINK French Provincial Full Size Bedroom Set 7 Piece
2022-10-08 12:25,7536972370,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-pair-of-mid-century-mersman/7536972370.html,$135, (PITTSBURGH),Pair of Mid Century Mersman Side or End Table with Drawer $70 Each
2022-10-08 12:25,7539408776,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-cherry-twin-poster-bed/7539408776.html,$110, (PITTSBURGH),Cherry Twin Poster Bed n Mattress Samuel Lawrence Furniture Expedition
2022-10-08 12:21,7543217330,https://pittsburgh.craigslist.org/fud/d/warrendale-mattress-and-box-must-sell/7543217330.html,$39, (Cranberry Mattress Loft),"Mattress and Box Must Sell - TWIN, FULL. QUEEN, KING - Up To 80% OFF!"
2022-10-08 12:19,7537090447,https://pittsburgh.craigslist.org/fuo/d/houston-coffee-table-bevelled-glass/7537090447.html,$150," (HOUSTON, PA.)","COFFEE TABLE, BEVELLED GLASS & BRASS"
2022-10-08 12:19,7534158159,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-gorgeous-executive-black/7534158159.html,$50, (South Hills by Village),Gorgeous Executive black pebbled leather 4 piece desk set
2022-10-08 12:18,7543213948,https://pittsburgh.craigslist.org/fuo/d/bridgeville-end-table/7543213948.html,$50, (Bridgeville),End Table
2022-10-08 12:08,7543208700,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-two-chairscoffee-table/7543208700.html,$700, (Pittsburgh),two chairs&coffee table
2022-10-08 12:02,7536916195,https://pittsburgh.craigslist.org/fuo/d/irwin-toddler-bed-and-mattress/7536916195.html,$100, (Irwin),Toddler bed and mattress
2022-10-08 11:57,7539393511,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-vintage-basic-witz-mid/7539393511.html,$5, (Pittsburgh),Vintage Basic-Witz Mid Century Modern Twin Headboard
2022-10-08 11:56,7535706645,https://pittsburgh.craigslist.org/fuo/d/ingomar-vintage-hand-painted-floral/7535706645.html,$15, (North Hills),Vintage Hand Painted Floral Table Lamp
2022-10-08 11:56,7543202834,https://pittsburgh.craigslist.org/fuo/d/brackenridge-table-pedestal-solid-wood/7543202834.html,$300, (Brackenridge),TABLE (PEDESTAL) Solid WOOD
2022-10-08 11:55,7531370338,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-vintage-mid-century-modern/7531370338.html,$360, (PITTSBURGH),Vintage Mid Century Modern United Furniture 5 Piece Full Size Bedroom
2022-10-08 11:55,7539378287,https://pittsburgh.craigslist.org/fuo/d/ingomar-stifle-solid-brass-table-lamps/7539378287.html,$45, (North Hills),2 Stifle Solid Brass Table Lamps both $45
2022-10-08 11:54,7540850332,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-king-size-gold-brass-bed/7540850332.html,$60, (PITTSBURGH),King Size Gold Brass Bed with White Finials
2022-10-08 11:54,7541979527,https://pittsburgh.craigslist.org/fuo/d/ingomar-large-solid-cherry-wood-beveled/7541979527.html,$25, (PITTSBURGH),Large Solid Cherry Wood Beveled Mirror for a Dresser or Wall
2022-10-08 11:52,7543200939,https://pittsburgh.craigslist.org/fuo/d/indiana-bed-frame-new-with-usb-turbo/7543200939.html,$150, (Indiana Pa),"Bed Frame, NEW, with USB Turbo Charger, Full Size"
2022-10-08 11:49,7543198766,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-youth-bedroom-furniture/7543198766.html,$175, (Churchill),Youth bedroom furniture
2022-10-08 11:49,7543199078,https://pittsburgh.craigslist.org/fuo/d/beaver-helen-rundell-nell-revel-smith/7543199078.html,$95," (Beaver, PA)",Helen Rundell & Nell Revel Smith Orginal Paintings
2022-10-08 11:47,7543198440,https://pittsburgh.craigslist.org/fuo/d/beaver-chairs-jewelry-boxes-chests/7543198440.html,$0," (Beaver, PA)",Chairs Jewelry Boxes Chests Tables Wicker
2022-10-08 11:40,7543195197,https://pittsburgh.craigslist.org/fuo/d/beaver-jean-dewasne-other-art-work/7543195197.html,$0," (Beaver, PA)",Jean Dewasne & Other Art Work
2022-10-08 11:37,7543193848,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-have-tiger-oak-dressers-and/7543193848.html,$300, (pittsburgh),I HAVE 2 TIGER OAK DRESSERS AND 2 NIGHT STANDS. THE DRESSERS ARE $300.
2022-10-08 11:37,7533786866,https://pittsburgh.craigslist.org/fuo/d/mc-kees-rocks-desk/7533786866.html,$100,,Desk
2022-10-08 11:34,7543192419,https://pittsburgh.craigslist.org/fuo/d/beaver-lladro-lenox-other-figurines/7543192419.html,$0," (Beaver, PA)",Lladro Lenox & Other Figurines Hand Painted Rocks
2022-10-08 11:34,7543190767,https://pittsburgh.craigslist.org/fuo/d/verona-vintage-solid-wood-dinning-room/7543190767.html,$500, (Verona),Vintage solid wood dinning room table
2022-10-08 11:33,7537679894,https://pittsburgh.craigslist.org/fuo/d/warrendale-dining-room-chair-kitchen/7537679894.html,$20,,Dining Room Chair/Kitchen/ Patio
2022-10-08 11:26,7543188475,https://pittsburgh.craigslist.org/fuo/d/bethel-park-rug-x-10/7543188475.html,$30," (Bethel Park, PA)",Rug 8’ x 10’
2022-10-08 11:25,7543188177,https://pittsburgh.craigslist.org/fuo/d/beaver-cut-glass-oriental-vases-china/7543188177.html,$0," (Beaver, PA)",Cut Glass Oriental Vases China Dishes and Figurines
2022-10-08 11:23,7543187426,https://pittsburgh.craigslist.org/fuo/d/beaver-oil-paintings-art-work/7543187426.html,$0," (Beaver, PA)",Oil Paintings & Art Work
2022-10-08 11:22,7543186817,https://pittsburgh.craigslist.org/fuo/d/beaver-lamps-candlesticks-brass-deer/7543186817.html,$0," (Beaver, PA)",Lamps Candlesticks Brass Deer Metal Waste Can
2022-10-08 11:18,7534076601,https://pittsburgh.craigslist.org/fuo/d/murrysville-mirror/7534076601.html,$15,,Mirror
2022-10-08 11:03,7541200635,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-fireplace-screen-panel/7541200635.html,$65, (NORTH HILLS),FIREPLACE SCREEN 3 PANEL ELEGANT SCROLL DESIGN
2022-10-08 10:58,7539034483,https://pittsburgh.craigslist.org/fuo/d/verona-tirrinia-bamboo-portable-picnic/7539034483.html,$35, (Verona),tirrinia bamboo portable picnic table
2022-10-08 10:58,7539029142,https://pittsburgh.craigslist.org/fuo/d/verona-couchbed-bed-platform/7539029142.html,$180, (Verona),couchbed bed platform
2022-10-08 10:57,7543175292,https://pittsburgh.craigslist.org/fuo/d/irwin-tv-stand/7543175292.html,$50,,Tv stand
2022-10-08 10:56,7540099850,https://pittsburgh.craigslist.org/fuo/d/adamsburg-restaurant-strong-table-chairs/7540099850.html,$145, (Adamsburg),Restaurant strong table & chairs
2022-10-08 10:51,7543172806,https://pittsburgh.craigslist.org/fuo/d/sarver-matching-pair-of-vintage/7543172806.html,$0,,Matching pair of vintage upholstered wooden round back style chairs
2022-10-08 10:47,7540772297,https://pittsburgh.craigslist.org/fuo/d/harwick-price-drophigh-quality-dining/7540772297.html,$299,,Price drop!High quality dining table with 4 microfiber / upholstery chairs
2022-10-08 10:46,7534426324,https://pittsburgh.craigslist.org/fuo/d/harwick-like-new-desk-with-two-chairs/7534426324.html,$139,,Like new Desk with two chairs
2022-10-08 10:46,7541450046,https://pittsburgh.craigslist.org/fuo/d/harwick-price-drop-high-quality-solid/7541450046.html,$99,,Price drop!!! High quality Solid wood dining table with 4 chairs
2022-10-08 10:46,7540303728,https://pittsburgh.craigslist.org/fuo/d/beaver-altair-standard-bookcase-by/7540303728.html,$250, (BEAVER),Altair Standard Bookcase by Gracie Oaks
2022-10-08 10:46,7540303888,https://pittsburgh.craigslist.org/fuo/d/beaver-respawn-900-racing-style-bonded/7540303888.html,$175, (Beaver),"Respawn 900 Racing-Style Bonded Leather Gaming Recliner, Black"
2022-10-08 10:46,7534336230,https://pittsburgh.craigslist.org/fuo/d/harwick-four-office-dining-chairs/7534336230.html,$12,,Four office/ dining chairs
2022-10-08 10:45,7541349500,https://pittsburgh.craigslist.org/fuo/d/harwick-full-size-bed-frame-with-serta/7541349500.html,$249,,Full size bed frame with Serta mattress
2022-10-08 10:45,7532376740,https://pittsburgh.craigslist.org/fuo/d/harwick-price-drop-full-size-mattress/7532376740.html,$169,,Price drop! Full size mattress with foldable metal frame
2022-10-08 10:45,7532005516,https://pittsburgh.craigslist.org/fuo/d/harwick-in-convertible-crib/7532005516.html,$69,,3 in 1 convertible crib
2022-10-08 10:44,7543169882,https://pittsburgh.craigslist.org/fuo/d/apollo-country-bench/7543169882.html,$50, (Apollo),Country Bench
2022-10-08 10:44,7543169873,https://pittsburgh.craigslist.org/fuo/d/canonsburg-child-craft-nursery/7543169873.html,$500, (Canonsburg),Child Craft Nursery
2022-10-08 10:44,7535468741,https://pittsburgh.craigslist.org/fuo/d/harwick-price-drop-like-new-sofa-twin/7535468741.html,$119,,Price drop!!! Like new sofa/twin bed
2022-10-08 10:43,7536950987,https://pittsburgh.craigslist.org/fuo/d/harwick-price-drop-twin-mattress-and/7536950987.html,$99,,Price drop!!! Twin mattress and metal bed frame
2022-10-08 10:43,7542365947,https://pittsburgh.craigslist.org/fuo/d/harwick-price-dropcasper-twin-mattress/7542365947.html,$225,,Price drop!!!Casper twin mattress
2022-10-08 10:41,7543168733,https://pittsburgh.craigslist.org/fuo/d/canonsburg-longaberger-tier-wrought/7543168733.html,$200,,Longaberger 5-tier wrought iron stand
2022-10-08 10:39,7543167605,https://pittsburgh.craigslist.org/fuo/d/beaver-frank-webb-other-art-work/7543167605.html,$0," (Beaver, PA)",Frank Webb & Other Art Work
2022-10-08 10:39,7532646016,https://pittsburgh.craigslist.org/fuo/d/murrysville-vintage-wooden-rocker/7532646016.html,$0,,Vintage Wooden Rocker
2022-10-08 10:38,7532827161,https://pittsburgh.craigslist.org/fuo/d/murrysville-metal-folding-chairs/7532827161.html,$0,,Metal Folding Chairs
2022-10-08 10:38,7543167246,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-twin-beds/7543167246.html,$0, (Pittsburgh),Twin beds
2022-10-08 10:37,7543167103,https://pittsburgh.craigslist.org/fuo/d/beaver-hindu-goddess-statue-deer-ginger/7543167103.html,$0," (Beaver, PA)",Hindu Goddess Statue Deer Ginger Jars & Artificial Floral Arrangements
2022-10-08 10:36,7543166259,https://pittsburgh.craigslist.org/fuo/d/irwin-pottery-barn-table-metal-stools/7543166259.html,$450, (Irwin),Pottery Barn Table 4 metal stools
2022-10-08 10:29,7543163003,https://pittsburgh.craigslist.org/fuo/d/wexford-countertop-wooden-dining-table/7543163003.html,$50, (Franklin park),Countertop wooden dining table for 4
2022-10-08 10:28,7543164558,https://pittsburgh.craigslist.org/fud/d/pittsburgh-vintage-brown-leather-sofa/7543164558.html,$0,,Vintage Brown Leather Sofa Couch upholstery Lounge Loveseat Armchair
2022-10-08 10:13,7543157252,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-tv-console-table/7543157252.html,$30, (McCandless),TV console table
2022-10-08 10:07,7534309560,https://pittsburgh.craigslist.org/fuo/d/allison-park-living-room-chair/7534309560.html,$40, (shaler),living room chair
2022-10-08 10:06,7537281871,https://pittsburgh.craigslist.org/fuo/d/allison-park-febreze-display-unit/7537281871.html,$40, (Allison Park Hampton),Febreze display unit shelves
2022-10-08 10:05,7543153864,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-vintage-dining-room-table/7543153864.html,$140,,Vintage Dining Room Table and Chairs
2022-10-08 10:04,7540458654,https://pittsburgh.craigslist.org/fuo/d/ligonier-cabinet-storage/7540458654.html,$250, (Ligonier),CABINET/STORAGE
2022-10-08 10:03,7543153058,https://pittsburgh.craigslist.org/fuo/d/verona-hospital-bed/7543153058.html,$100, (Verona),Hospital Bed
2022-10-08 10:03,7543152971,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-red-wood-lounge-and-cushion/7543152971.html,$40, (Pgh),red wood lounge and cushion
2022-10-08 10:03,7537582863,https://pittsburgh.craigslist.org/fuo/d/allison-park-lawn-chairs/7537582863.html,$80, (shaler),lawn chairs
2022-10-08 10:02,7543152580,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-coffee-table-2-matching-end/7543152580.html,$50,,Coffee Table w/ 2 matching End Tables
2022-10-08 10:00,7533381965,https://pittsburgh.craigslist.org/fuo/d/glenshaw-in-counter-height-chairs/7533381965.html,$350, (GLENSHAW),8 -24 in. counter height chairs
2022-10-08 10:00,7543151673,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-console-table-tv-cabinet/7543151673.html,$35,,Console Table / TV Cabinet
2022-10-08 09:58,7532838467,https://pittsburgh.craigslist.org/fuo/d/ligonier-oak-desk-table/7532838467.html,$250, (Ligonier),OAK DESK/TABLE
2022-10-08 09:58,7543150907,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-beautiful-enamel-top-kitchen/7543150907.html,$75,,Beautiful Enamel Top Kitchen Bakers Table
2022-10-08 09:57,7543150512,https://pittsburgh.craigslist.org/fuo/d/trafford-king-size-solid-wood-and/7543150512.html,"$2,500", (Murrysville),King size solid wood and granite bedroom set
2022-10-08 09:55,7532130613,https://pittsburgh.craigslist.org/fuo/d/ligonier-cabinet-storage/7532130613.html,$250, (Ligonier),CABINET/STORAGE
2022-10-08 09:52,7534413851,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-lovesac-sactional-standard/7534413851.html,$150, (North Shore),Lovesac Sactional Standard Fill Back Pillow Inserts
2022-10-08 09:52,7543148868,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-twin-solid-wood-bed-frame/7543148868.html,$35,,Twin Solid Wood Bed Frame - Vintage 1960's w/Guard
2022-10-08 09:51,7543148507,https://pittsburgh.craigslist.org/fuo/d/trafford-granite-and-solid-wood-queen/7543148507.html,"$1,500", (Murrysville),Granite and solid wood queen bedroom set
2022-10-08 09:49,7542127430,https://pittsburgh.craigslist.org/fuo/d/glassport-coral-glass-top-end-table/7542127430.html,$100,,Coral Glass top End Table
2022-10-08 09:48,7543147286,https://pittsburgh.craigslist.org/fuo/d/imperial-vintage-mcm-stanley-linear/7543147286.html,$475, (Imperial),Vintage MCM Stanley “Linear Precision” Butterfly Leaf Table
2022-10-08 09:45,7532812144,https://pittsburgh.craigslist.org/fuo/d/westmoreland-city-ashley-furniture/7532812144.html,$100,,"Ashley Furniture, Coffee and End Table Set"
2022-10-08 09:44,7543144260,https://pittsburgh.craigslist.org/fuo/d/monongahela-dresser-nightstand/7543144260.html,$225, (Monongahela),Dresser & nightstand
2022-10-08 09:42,7542255640,https://pittsburgh.craigslist.org/fuo/d/sewickley-vintage-fisher-price-changing/7542255640.html,$50,,Vintage Fisher Price Changing Table w/ Dresser - solid wood
2022-10-08 09:41,7543144752,https://pittsburgh.craigslist.org/fuo/d/mckeesport-glass-coffee-table/7543144752.html,$75,,Glass Coffee Table
2022-10-08 09:41,7542259639,https://pittsburgh.craigslist.org/fuo/d/sewickley-vintage-chest-of-drawers/7542259639.html,$60,,Vintage Chest of Drawers - Wooden
2022-10-08 09:41,7543144650,https://pittsburgh.craigslist.org/fuo/d/glassport-bedroom-set/7543144650.html,$250,,Bedroom Set
2022-10-08 14:31,7543279878,https://pittsburgh.craigslist.org/fuo/d/east-brady-cherry-coffee-and-end-table/7543279878.html,$70, (Chicora area),Cherry coffee and end table
2022-10-08 14:24,7543276703,https://pittsburgh.craigslist.org/fuo/d/murrysville-antique-brunswick-victrola/7543276703.html,$135, (Murrysville),ANTIQUE BRUNSWICK VICTROLA CABINET - 1923
2022-10-08 14:17,7543273412,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-wood-inlaid-end-table/7543273412.html,$150, (Pittsburgh),Wood Inlaid End Table
2022-10-08 14:15,7543272235,https://pittsburgh.craigslist.org/fuo/d/verona-desk-roll-top/7543272235.html,$140, (Pennhills pa),Desk roll top
2022-10-08 14:12,7541492401,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-bar-stools/7541492401.html,$75, (RESERVE TOWNSHIP),BAR STOOLS
2022-10-08 14:09,7543269326,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-patio-set/7543269326.html,$0, (Churchill),Patio set
2022-10-08 14:07,7532598442,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-guitar-wooden-case/7532598442.html,$40, (Pennhills pa),Guitar wooden case
2022-10-08 14:06,7532598042,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-hanging-wicker-swing-chair/7532598042.html,$250, (Pennhills pa),Hanging wicker swing chair
2022-10-08 13:57,7543263248,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-bar-stools-45-each/7543263248.html,$45, (North Hills),Bar Stools $45. each
2022-10-08 13:53,7543261261,https://pittsburgh.craigslist.org/fuo/d/monongahela-antique-oak-round-table/7543261261.html,$100, (Monongahela),"Antique oak round table , pedastal base with claw feet"
2022-10-08 13:42,7543255931,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-wenger-trouper-stage-platform/7543255931.html,$200, (Upper St Clair),Wenger Trouper Stage Platform
2022-10-08 13:41,7543255653,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-wenger-trouper-stage-platform/7543255653.html,$200, (Upper St Clair),Wenger Trouper Stage Platform
2022-10-08 13:41,7543255412,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-wenger-trouper-stage-platform/7543255412.html,$200, (Upper St Clair),Wenger Trouper Stage Platform
2022-10-08 13:39,7541916239,https://pittsburgh.craigslist.org/fuo/d/warrendale-corner-desk-metal-and-glass/7541916239.html,$60, (cranberry township),Corner Desk metal and glass color grey
2022-10-08 13:38,7541525176,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-lots-of-furniture/7541525176.html,$1, (Pittsburgh),lots of furniture
2022-10-08 13:30,7543250320,https://pittsburgh.craigslist.org/fuo/d/mckeesport-bedroom-furniture/7543250320.html,$100,,Bedroom furniture
2022-10-08 13:25,7543247447,https://pittsburgh.craigslist.org/fuo/d/washington-nice-living-room-dinette/7543247447.html,$800, (Washington),Nice living room/dinette
2022-10-08 13:24,7534988596,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-living-room-chair/7534988596.html,$40, (PITTSBURGH),Living room Chair
2022-10-08 13:17,7537420269,https://pittsburgh.craigslist.org/fuo/d/butler-vintage-formica-table/7537420269.html,$50," (Butler, PA)",Vintage Formica Table
2022-10-08 13:16,7543243275,https://pittsburgh.craigslist.org/fuo/d/harwick-recliner/7543243275.html,$25, (Cheswick),Recliner
2022-10-08 13:15,7543242591,https://pittsburgh.craigslist.org/fuo/d/turtle-creek-pottery-barn-blythe/7543242591.html,$699,,Pottery Barn - Blythe Upholstered Bed
2022-10-08 13:09,7536166413,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-mid-century-modern-lamp/7536166413.html,$150, (East liberty),Mid century modern lamp
2022-10-08 13:09,7536156813,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-drexel-declaration-full/7536156813.html,$380, (East liberty),Drexel Declaration full headboard - mid century modern
2022-10-08 13:08,7534409278,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-rattan-and-iron-chaise-mid/7534409278.html,"$1,200", (East liberty),Rattan and iron chaise - mid century modern
2022-10-08 13:08,7536166862,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-drexel-declaration-mirror/7536166862.html,$250, (East liberty),Drexel declaration mirror - mid century modern
2022-10-08 13:08,7536157041,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-lane-rhythm-mirror-mid/7536157041.html,$150, (East liberty),Lane Rhythm mirror - mid century modern
2022-10-08 13:08,7542242479,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-vintage-mid-century-modern/7542242479.html,$280, (East liberty),Vintage mid century modern coffee table
2022-10-08 13:06,7543238022,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-vintage-cedar-chest/7543238022.html,$100, (Pleasant Hills PA),Vintage Cedar Chest
2022-10-08 13:04,7543237092,https://pittsburgh.craigslist.org/fuo/d/evans-city-pair-of-wooden-high-backed/7543237092.html,$15, (Evans City),Pair of Wooden High Backed Bar Stools
2022-10-08 12:58,7543234075,https://pittsburgh.craigslist.org/fuo/d/east-pittsburgh-mcm-dining-room-table/7543234075.html,$40," (Forest Hills, PA)",MCM Dining Room Table & Chairs
2022-10-08 12:29,7543219479,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-king-size-mattress-box-spring/7543219479.html,$99,,King size mattress & box spring
